"preds","include.prec","fit.type","which.data","radius","weight.style","equal.weights","response.name","weight.col","step.size","tc","cb","la","bag.fraction","mllr","parID","boot.i","test.site","nboots","metaID","ntrees","cv.init","cv","cv.red","cv.sd","cv.max","cv.min","ntest","ntest.pres"
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Yekeyor",10,75,392,0.257389721313113,0.193191500182976,0.249420298536478,0.286689434837321,1.2707006832517,0.00769491723697612,156,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Bamba",10,76,335,0.258852626492735,0.190855561623002,0.26268640110415,0.278511820154433,1.23868957712702,0.0110093276687609,172,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Bantou",10,77,288,0.225786445175538,0.175539750067472,0.222540795436154,0.277222688248011,1.24394146300511,0.01188181403953,3340,1670
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gagal",10,78,338,0.260200569788019,0.186173202101762,0.284501174407749,0.282744144229416,1.25401019457002,0.0104267323998611,1020,510
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gania",10,79,395,0.265271478467302,0.192408401223784,0.274673619887482,0.279852165498086,1.24074963138616,0.0132766184623218,900,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gayebombo",10,80,348,0.258268266979473,0.192528112072253,0.254542130460205,0.282770916461916,1.25689318518959,0.00944737609777014,159,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Gbetaya",10,81,342,0.244246810146224,0.176795455135435,0.27616063837398,0.27615881130776,1.21983785437694,0.00954927887710601,600,300
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Kaali",10,82,343,0.258642730246661,0.192374498576957,0.256215326858426,0.27694261952304,1.22860820002291,0.0155714279453679,240,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Khoneya",10,83,332,0.259602911673551,0.191166816392299,0.263618365603347,0.277778079886561,1.23730880893333,0.0129478800130583,327,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Sangassou",10,84,418,0.253356778234121,0.18608234587745,0.265532395957861,0.299958554587154,1.33702060552694,0.00816978780945187,420,210
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Tanganya",10,85,324,0.241547498786467,0.180686407753511,0.251963242586744,0.285392682440567,1.26390967437604,0.0099102943277207,3024,1512
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"Yafraya",10,86,351,0.257833817658483,0.190017052283374,0.263025098844622,0.277445314643336,1.22821680012822,0.0101048993063781,102,0
